"파일명","글자","모임꼴","받침여부","너비(mm)","높이(mm)","비례기준","비례값","균형점X(Gu)","균형점Y(Gu)","편차X(Gu)","편차Y(Gu)","균형축각도(°)","상단중심X(px)","상단중심Y(px)","하단중심X(px)","하단중심Y(px)","픽셀수","기준치수(mm)","낱글자W","낱글자H","낱글자비율","낱글자W비례%","낱글자H비례%","첫닿자W","첫닿자H","첫닿자비율","첫닿자W비례%","첫닿자H비례%","받침닿자W","받침닿자H","받침닿자비율","받침닿자W비례%","받침닿자H비례%","가로모임꼴W","가로모임꼴H","가로모임꼴비율","가로모임꼴W비례%","가로모임꼴H비례%","세로모임꼴W","세로모임꼴H","세로모임꼴비율","세로모임꼴W비례%","세로모임꼴H비례%","가로획W","가로획H","가로획비율","가로획W비례%","가로획H비례%","세로획W","세로획H","세로획비율","세로획W비례%","세로획H비례%","가로보W","가로보H","가로보비율","가로보W비례%","가로보H비례%","세로기둥W","세로기둥H","세로기둥비율","세로기둥W비례%","세로기둥H비례%","겹기둥W","겹기둥H","겹기둥비율","겹기둥W비례%","겹기둥H비례%","안기둥W","안기둥H","안기둥비율","안기둥W비례%","안기둥H비례%","밖기둥W","밖기둥H","밖기둥비율","밖기둥W비례%","밖기둥H비례%","이음보W","이음보H","이음보비율","이음보W비례%","이음보H비례%","상단간격W","상단간격H","상단간격비율","상단간격W비례%","상단간격H비례%","하단간격W","하단간격H","하단간격비율","하단간격W비례%","하단간격H비례%","수평간격W","수평간격H","수평간격비율","수평간격W비례%","수평간격H비례%","수직간격W","수직간격H","수직간격비율","수직간격W비례%","수직간격H비례%","좌측단차W","좌측단차H","좌측단차비율","좌측단차W비례%","좌측단차H비례%","우측단차W","우측단차H","우측단차비율","우측단차W비례%","우측단차H비례%","상단단차W","상단단차H","상단단차비율","상단단차W비례%","상단단차H비례%","하단단차W","하단단차H","하단단차비율","하단단차W비례%","하단단차H비례%","측정시각"
"1964_정당제도_맥_045_250501 1.jpg","맥","가로모임꼴","받침","15.02","19.24","높이기준","0.787","62.22","59.92","12.22","9.92","5.64","585","293","628","724","72559","17.81","14.02","17.81","0.787","78.72","100","6.17","5.71","1.081","34.64","32.06","8.79","6.33","1.389","49.35","35.54","5.83","10.4","0.561","32.73","58.39","","","","","","2.83","0.73","3.877","15.89","4.1","","","","","","","","","","","","","","","","5.86","10.43","0.562","32.9","58.56","2.06","9.03","0.228","11.57","50.7","2.69","10.25","0.262","15.1","57.55","","","","","","","","","","","","","","","","2.17","17.76","0.122","12.18","99.72","14.06","2.09","6.727","78.94","11.73","","","","","","","","","","","14.21","3.94","3.607","79.79","22.12","5.14","8.07","0.637","28.86","45.31","2026-06-02T10:24:44.665Z"
"1964_정당제도_맨_179_250424 1.jpg","맨","가로모임꼴","받침","16.7","18.18","높이기준","0.848","56.93","49.41","6.93","-0.59","-1.09","623","412","614","878","84863","17.79","15.08","17.79","0.848","84.77","100","6.29","5.71","1.102","35.36","32.1","10.17","4.25","2.393","57.17","23.89","6.21","14.23","0.436","34.91","79.99","","","","","","2.77","0.77","3.597","15.57","4.33","","","","","","","","","","","","","","","","6.21","14.18","0.438","34.91","79.71","2.48","11.6","0.214","13.94","65.21","2.81","14.15","0.199","15.8","79.54","","","","","","","","","","","","","","","","2.24","17.74","0.126","12.59","99.72","15.15","3.15","4.81","85.16","17.71","","","","","","","","","","","15.12","4.82","3.137","84.99","27.09","5.64","7.45","0.757","31.7","41.88","2026-06-02T10:25:44.996Z"
"1964_정당제도_맹_086_250417 2.jpg","맹","가로모임꼴","받침","16.92","19.06","높이기준","0.748","56.39","50.39","6.39","0.39","-1.23","615","338","605","830","115008","18.46","13.81","18.46","0.748","74.81","100","6.29","5.46","1.152","34.07","29.58","7.17","6.46","1.11","38.84","34.99","6.04","11.38","0.531","32.72","61.65","","","","","","2.65","0.88","3.011","14.36","4.77","","","","","","","","","","","","","","","","6.06","11.4","0.532","32.83","61.76","2.33","9.1","0.256","12.62","49.3","2.65","11.42","0.232","14.36","61.86","","","","","","","","","","","","","","","","2.92","18.52","0.158","15.82","100.33","15.97","2.25","7.098","86.51","12.19","","","","","","","","","","","13.95","4.26","3.275","75.57","23.08","6.47","8.67","0.746","35.05","46.97","2026-06-02T10:25:48.425Z"
"1964_정당제도_맺_204_2501002 1.jpg","맺","가로모임꼴","받침","15.38","19.94","높이기준","0.752","60.34","54.79","10.34","4.79","-3.8","616","285","585","751","106518","18.65","14.02","18.65","0.752","75.17","100","6.13","5.88","1.043","32.87","31.53","10.52","7.42","1.418","56.41","39.79","6","9.88","0.607","32.17","52.98","","","","","","2.52","0.88","2.864","13.51","4.72","","","","","","","","","","","","","","","","6","9.85","0.609","32.17","52.82","2.19","8.42","0.26","11.74","45.15","2.58","9.65","0.267","13.83","51.74","","","","","","","","","","","","","","","","2.58","18.58","0.139","13.83","99.62","14.37","1.88","7.644","77.05","10.08","","","","","","","","","","","14.18","3.8","3.732","76.03","20.38","3.53","9","0.392","18.93","48.26","2026-06-02T10:25:52.209Z"
"1964_정당제도_멘_172_250414 1.jpg","멘","가로모임꼴","받침","16.84","18.42","높이기준","0.858","57.34","53.33","7.34","3.33","-1.22","599","404","589","856","117476","18.06","15.5","18.06","0.858","85.83","100","5.98","5.75","1.04","33.11","31.84","9.88","4.33","2.282","54.71","23.98","7.4","14.06","0.526","40.97","77.85","","","","","","2.54","0.63","4.032","14.06","3.49","","","","","","","","","","","","","","","","6","14.13","0.425","33.22","78.24","2.6","11.54","0.225","14.4","63.9","2.91","14.14","0.206","16.11","78.29","","","","","","","","","","","","","","","","2.58","17.96","0.144","14.29","99.45","15.52","3.15","4.927","85.94","17.44","","","","","","","","","","","15.51","4.4","3.525","85.88","24.36","5.92","7.79","0.76","32.78","43.13","2026-06-02T10:25:56.182Z"
"1964_정당제도_멜_133_250413 1.jpg","멜","가로모임꼴","받침","16.44","18.7","높이기준","0.83","57.89","49.65","7.89","-0.35","2.06","593","293","612","805","103641","18.08","15","18.08","0.83","82.96","100","5.79","5.71","1.014","32.02","31.58","8.56","7.23","1.184","47.35","39.99","7.67","9.6","0.799","42.42","53.1","","","","","","3.08","0.81","3.802","17.04","4.48","","","","","","","","","","","","","","","","6.21","9.69","0.641","34.35","53.6","2.35","8.1","0.29","13","44.8","2.81","9.6","0.293","15.54","53.1","","","","","","","","","","","","","","","","2.92","18.06","0.162","16.15","99.89","15.06","1.25","12.048","83.3","6.91","","","","","","","","","","","15.03","4.1","3.666","83.13","22.68","6.58","8.59","0.766","36.39","47.51","2026-06-02T10:26:01.406Z"
"1964_정당제도_멤_138_250529 01.jpg","멤","가로모임꼴","받침","14.74","19.34","높이기준","0.762","60.48","54.65","10.48","4.65","0.18","598","307","600","793","84889","18.33","13.96","18.33","0.762","76.16","100","6.21","6.17","1.006","33.88","33.66","7.52","5.63","1.336","41.03","30.71","7.5","11.27","0.665","40.92","61.48","","","","","","2.69","0.61","4.41","14.68","3.33","","","","","","","","","","","","","","","","6.08","11.24","0.541","33.17","61.32","2.36","9.89","0.239","12.88","53.96","2.94","11.21","0.262","16.04","61.16","","","","","","","","","","","","","","","","2.83","18.42","0.154","15.44","100.49","14.11","2.23","6.327","76.98","12.17","","","","","","","","","","","14.25","4.27","3.337","77.74","23.3","6.38","7.99","0.798","34.81","43.59","2026-06-02T10:26:05.964Z"
"1964_정당제도_멧_406_250501 1.jpg","멧","가로모임꼴","받침","15.56","18.7","높이기준","0.801","62.42","56.08","12.42","6.08","0.43","614","350","617","781","97938","17.77","14.23","17.77","0.801","80.08","100","6.08","5.88","1.034","34.21","33.09","10.35","6.54","1.583","58.24","36.8","7.54","12.46","0.605","42.43","70.12","","","","","","2.63","0.77","3.416","14.8","4.33","","","","","","","","","","","","","","","","5.95","12.43","0.479","33.48","69.95","2.35","8.43","0.279","13.22","47.44","3","12.46","0.241","16.88","70.12","","","","","","","","","","","","","","","","2.71","17.81","0.152","15.25","100.23","14.22","1.38","10.304","80.02","7.77","","","","","","","","","","","14.26","4.01","3.556","80.25","22.57","3.97","8.09","0.491","22.34","45.53","2026-06-02T10:26:09.508Z"
"1964_정당제도_랙_039_2501002 1.jpg","랙","가로모임꼴","받침","13.8","19.14","높이기준","0.712","59.64","54.81","9.64","4.81","12.46","578","334","667","738","56287","18.31","13.04","18.31","0.712","71.22","100","7.46","8","0.933","40.74","43.69","8.42","6.1","1.38","45.99","33.32","6.1","10.67","0.572","33.32","58.27","","","","","","2.71","0.81","3.346","14.8","4.42","","","","","","","","","","","","","","","","6.1","10.72","0.569","33.32","58.55","2.38","9.19","0.259","13","50.19","2.6","10.65","0.244","14.2","58.16","","","","","","","","","","","","","","","","3.17","18.13","0.175","17.31","99.02","13.05","1.33","9.812","71.27","7.26","","","","","","","","","","","13.26","3.38","3.923","72.42","18.46","4.63","6.99","0.662","25.29","38.18","2026-06-02T10:26:13.257Z"
"1964_정당제도_랜_178_250414 1.jpg","랜","가로모임꼴","받침","15.96","18.54","높이기준","0.8","53.93","48.63","3.93","-1.37","1.4","615","402","627","893","101847","18.15","14.52","18.15","0.8","80","100","7.58","8.52","0.89","41.76","46.94","9.9","4.33","2.286","54.55","23.86","6","14.46","0.415","33.06","79.67","","","","","","3.7","0.85","4.353","20.39","4.68","","","","","","","","","","","","","","","","6.02","14.5","0.415","33.17","79.89","2.25","12.15","0.185","12.4","66.94","2.73","14.53","0.188","15.04","80.06","","","","","","","","","","","","","","","","2.77","18.23","0.152","15.26","100.44","14.58","1.73","8.428","80.33","9.53","","","","","","","","","","","14.55","3.54","4.11","80.17","19.5","5.13","5.98","0.858","28.26","32.95","2026-06-02T10:26:18.315Z"
